Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Title,Family_Size,Ticket_length,Ticket_prefix
0,3,0,22.0,1,0,7.25,0,0,0,2,5,0
1,1,1,38.0,1,0,71.2833,1,1,1,2,5,1
1,3,1,26.0,0,0,7.925,0,0,2,1,7,2
1,1,1,35.0,1,0,53.1,1,0,1,2,6,3
0,3,0,35.0,0,0,8.05,0,0,0,1,6,3
0,3,0,-999.0,0,0,8.4583,0,2,0,1,6,3
0,1,0,54.0,0,0,51.8625,2,0,0,1,5,3
0,3,0,2.0,3,1,21.075,0,0,3,5,6,3
1,3,1,27.0,0,2,11.1333,0,0,1,3,6,3
1,2,1,14.0,1,0,30.0708,0,1,1,2,6,3
1,3,1,4.0,1,1,16.7,3,0,2,3,4,4
1,1,1,58.0,0,0,26.55,1,0,2,1,6,3
0,3,0,20.0,0,0,8.05,0,0,0,1,4,5
0,3,0,39.0,1,5,31.275,0,0,0,7,6,3
0,3,1,14.0,0,0,7.8542,0,0,2,1,6,3
1,2,1,55.0,0,0,16.0,0,0,1,1,6,3
0,3,0,2.0,4,1,29.125,0,2,3,6,6,3
1,2,0,-999.0,0,0,13.0,0,0,0,1,6,3
0,3,1,31.0,1,0,18.0,0,0,1,2,6,3
1,3,1,-999.0,0,0,7.225,0,1,1,1,4,3
0,2,0,35.0,0,0,26.0,0,0,0,1,6,3
1,2,0,34.0,0,0,13.0,4,0,0,1,6,3
1,3,1,15.0,0,0,8.0292,0,2,2,1,6,3
1,1,0,28.0,0,0,35.5,5,0,0,1,6,3
0,3,1,8.0,3,1,21.075,0,0,2,5,6,3
1,3,1,38.0,1,5,31.3875,0,0,1,7,6,3
0,3,0,-999.0,0,0,7.225,0,1,0,1,4,3
0,1,0,19.0,3,2,263.0,1,0,0,6,5,3
1,3,1,-999.0,0,0,7.8792,0,2,2,1,6,3
0,3,0,-999.0,0,0,7.8958,0,0,0,1,6,3
0,1,0,40.0,0,0,27.7208,0,1,4,1,5,1
1,1,1,-999.0,1,0,146.5208,6,1,1,2,5,1
1,3,1,-999.0,0,0,7.75,0,2,2,1,6,3
0,2,0,66.0,0,0,10.5,0,0,0,1,5,6
0,1,0,28.0,1,0,82.1708,0,1,0,2,5,1
0,1,0,42.0,1,0,52.0,0,0,0,2,6,3
1,3,0,-999.0,0,0,7.2292,0,1,0,1,4,3
0,3,0,21.0,0,0,8.05,0,0,0,1,4,7
0,3,1,18.0,2,0,18.0,0,0,2,3,6,3
